         20846309 function calls (20599850 primitive calls) in 34.277 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:371(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:371(_FixedOffset)
        1    0.000    0.000    0.000    0.000 __init__.py:3775(LabelFrame)
        1    0.000    0.000    0.000    0.000 __init__.py:378(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:3797(PanedWindow)
        1    0.000    0.000    0.000    0.000 __init__.py:38(DtypeWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:384(__init__)
        8    0.000    0.000    0.000    0.000 __init__.py:390(_logged_cached)
        1    0.000    0.000    0.000    0.000 __init__.py:393(StrFormatStyle)
        2    0.000    0.000    0.173    0.087 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:402(StringTemplateStyle)
        3    0.000    0.000    0.000    0.000 __init__.py:403(add_metaclass)
        3    0.000    0.000    0.000    0.000 __init__.py:405(wrapper)
  113/105    0.000    0.000    0.001    0.000 __init__.py:409(wrapper)
        1    0.000    0.000    0.009    0.009 __init__.py:41(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:411(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:412(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:42(private_class)
      186    0.000    0.000    0.000    0.000 __init__.py:420(<genexpr>)
       90    0.000    0.000    0.000    0.000 __init__.py:420(_string_to_bool)
      186    0.000    0.000    0.001    0.000 __init__.py:422(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:426(Formatter)
        2    0.000    0.000    0.028    0.014 __init__.py:45(<module>)
        7    0.000    0.000    0.000    0.000 __init__.py:457(is_platform_windows)
        1    0.000    0.000    0.000    0.000 __init__.py:467(StringVar)
        1    0.000    0.000    0.000    0.000 __init__.py:470(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:471(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:476(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:477(CFunctionType)
        5    0.000    0.000    0.000    0.000 __init__.py:48(get_projection_class)
        1    0.000    0.000    0.000    0.000 __init__.py:489(IntVar)
        1    0.000    0.000    0.000    0.000 __init__.py:491(checkdep_ps_distiller)
        4    0.000    0.000    0.605    0.151 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
        1    0.000    0.000    0.000    0.000 __init__.py:505(GetRealpathAndStat)
        1    0.000    0.000    0.000    0.000 __init__.py:512(DoubleVar)
        1    0.000    0.000    0.000    0.000 __init__.py:525(checkdep_usetex)
        1    0.000    0.000    0.000    0.000 __init__.py:531(BooleanVar)
      212    0.001    0.000    0.006    0.000 __init__.py:540(dedent)
        1    0.000    0.000    0.000    0.000 __init__.py:55(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:555(get_home)
        1    0.000    0.000    0.000    0.000 __init__.py:574(Misc)
        1    0.000    0.000    0.000    0.000 __init__.py:578(_get_xdg_config_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:590(_get_xdg_cache_dir)
